DATE,T10Y3M,CPI,SP500,Median_House_Price,UNRATE,USREC,WTISPLC
1963-01-01,0.92,30.44,62.68999863,17200,5.7,0,2.97
1963-02-01,1.0,30.48,66.30999756,17700,5.9,0,2.97
1963-03-01,1.04,30.51,64.09999847,18200,5.7,0,2.97
1963-04-01,1.07,30.48,66.84999847,18200,5.7,0,2.97
1963-05-01,1.0,30.51,69.97000122,17500,5.9,0,2.97
1963-06-01,1.0,30.61,70.69000244,18000,5.6,0,2.97
1963-07-01,0.84,30.69,68.86000061,18400,5.6,0,2.97
1963-08-01,0.68,30.75,69.06999969,17800,5.4,0,2.97
1963-09-01,0.7,30.72,72.66000366,17900,5.5,0,2.97
1963-10-01,0.66,30.75,72.22000122,17600,5.5,0,2.97
1963-11-01,0.6,30.78,73.83000183,18400,5.7,0,2.97
1963-12-01,0.61,30.88,73.66000366,18700,5.5,0,2.97
1964-01-01,0.65,30.94,75.43000031,17800,5.6,0,2.97
1964-02-01,0.62,30.91,76.97000122,18000,5.4,0,2.97
1964-03-01,0.68,30.94,77.97000122,19000,5.4,0,2.97
1964-04-01,0.76,30.95,79.23999786,18800,5.3,0,2.97
1964-05-01,0.72,30.98,80.16999817,19300,5.1,0,2.97
1964-06-01,0.69,31.01,80.11000061,18800,5.2,0,2.97
1964-07-01,0.73,31.02,82.26999664,19100,4.9,0,2.92
1964-08-01,0.69,31.05,83.0,18900,5.0,0,2.92
1964-09-01,0.67,31.08,82.18000031,18900,5.1,0,2.92
1964-10-01,0.62,31.12,84.08000183,18900,5.1,0,2.92
1964-11-01,0.51,31.21,85.18000031,19300,4.8,0,2.92
1964-12-01,0.34,31.25,83.55000305,21000,5.0,0,2.92
1965-01-01,0.38,31.28,84.23000336,20700,4.9,0,2.92
1965-02-01,0.28,31.28,87.58000183,20400,5.1,0,2.92
1965-03-01,0.28,31.31,87.25,19800,4.7,0,2.92
1965-04-01,0.27,31.38,86.31999969,19900,4.8,0,2.92
1965-05-01,0.32,31.48,89.23000336,19600,4.6,0,2.92
1965-06-01,0.41,31.61,88.72000122,19800,4.6,0,2.92
1965-07-01,0.36,31.58,84.48000336,21000,4.4,0,2.92
1965-08-01,0.41,31.55,85.41999817,20200,4.4,0,2.92
1965-09-01,0.37,31.62,87.16999817,19600,4.3,0,2.92
1965-10-01,0.32,31.65,89.90000153,19900,4.2,0,2.92
1965-11-01,0.36,31.75,92.23000336,20600,4.1,0,2.92
1965-12-01,0.24,31.85,91.5,20300,4.0,0,2.92
1966-01-01,0.02,31.88,92.18000031,21200,4.0,0,2.92
1966-02-01,0.18,32.08,92.16000366,20900,3.8,0,2.92
1966-03-01,0.28,32.18,90.05999756,20800,3.8,0,2.92
1966-04-01,0.13,32.28,89.94000244,23000,3.8,0,2.92
1966-05-01,0.14,32.35,90.90000153,22300,3.9,0,2.92
1966-06-01,0.31,32.38,86.09999847,21200,3.8,0,2.92
1966-07-01,0.22,32.45,85.61000061,21800,3.8,0,2.92
1966-08-01,0.26,32.65,82.30999756,20700,3.8,0,2.92
1966-09-01,-0.19,32.75,77.69999695,22200,3.7,0,2.97
1966-10-01,-0.34,32.85,74.90000153,20800,3.7,0,2.97
1966-11-01,-0.16,32.88,80.80999756,21700,3.6,0,2.97
1966-12-01,-0.12,32.92,80.08000183,21700,3.8,0,2.97
1967-01-01,-0.14,32.9,80.37999725,22200,3.9,0,2.97
1967-02-01,0.07,33.0,86.43000031,22400,3.8,0,3.0
1967-03-01,0.28,33.0,87.68000031,22400,3.8,0,3.0
1967-04-01,0.75,33.1,89.23999786,22300,3.8,0,3.0
1967-05-01,1.25,33.1,93.83999634,23700,3.8,0,3.0
1967-06-01,1.48,33.3,90.23000336,23900,3.9,0,3.0
1967-07-01,0.95,33.4,90.91000366,23300,3.8,0,3.0
1967-08-01,1.01,33.5,95.37000275,21700,3.8,0,3.07
1967-09-01,0.88,33.6,93.68000031,22800,3.8,0,3.07
1967-10-01,0.92,33.7,96.31999969,22300,4.0,0,3.07
1967-11-01,1.02,33.9,92.70999908,23100,3.9,0,3.07
1967-12-01,0.73,34.0,94.5,22200,3.8,0,3.07
1968-01-01,0.53,34.1,96.11000061,23400,3.7,0,3.07
1968-02-01,0.58,34.2,92.55999756,23500,3.8,0,3.07
1968-03-01,0.57,34.3,89.11000061,24600,3.7,0,3.07
1968-04-01,0.26,34.4,92.48000336,24500,3.5,0,3.07
1968-05-01,0.21,34.5,97.97000122,25300,3.5,0,3.07
1968-06-01,0.2,34.7,99.98999786,25400,3.7,0,3.07
1968-07-01,0.19,34.9,99.40000153,24600,3.7,0,3.07
1968-08-01,0.33,35.0,97.27999878,25000,3.5,0,3.07
1968-09-01,0.27,35.1,99.31999969,25000,3.4,0,3.07
1968-10-01,0.23,35.3,102.8600006,25600,3.4,0,3.07
1968-11-01,0.25,35.4,103.0599976,24600,3.4,0,3.07
1968-12-01,0.07,35.6,108.1200027,26500,3.4,0,3.07
1969-01-01,-0.1,35.7,103.9300003,24600,3.4,0,3.07
1969-02-01,0.07,35.8,102.8899994,26000,3.4,0,3.07
1969-03-01,0.28,36.1,98.37999725,26200,3.4,0,3.25
1969-04-01,0.06,36.3,101.4199982,25900,3.4,0,3.35
1969-05-01,0.28,36.4,103.5100021,26900,3.4,0,3.35
1969-06-01,0.13,36.6,102.9400024,25200,3.5,0,3.35
1969-07-01,-0.28,36.8,98.08000183,26800,3.5,0,3.35
1969-08-01,-0.29,36.9,93.47000122,24900,3.5,0,3.35
1969-09-01,0.07,37.1,95.54000092,26000,3.7,0,3.35
1969-10-01,0.1,37.3,92.51999664,24400,3.7,0,3.35
1969-11-01,-0.1,37.5,97.15000153,24900,3.5,0,3.35
1969-12-01,-0.17,37.7,93.22000122,25100,3.5,0,3.35
1970-01-01,-0.08,37.9,93.0,23600,3.9,1,3.35
1970-02-01,0.11,38.1,85.75,24100,4.2,1,3.35
1970-03-01,0.44,38.3,89.70999908,24100,4.4,1,3.35
